"Store","StoreType","Assortment","competition_distance","inventory_risk","forecastability","replenishment_freq","store_segment","avg_daily_forecast","forecast_volatility","avg_mape","pct_excellent","pct_poor","safety_stock","reorder_point","min_stock_level","max_stock_level","optimal_order_qty","demand_cv_pct","alert_level","days_of_stock","velocity_ratio","recommended_order_qty","last_7d_avg_sales","last_7d_mape","sales_rank","accuracy_rank","total_sales","historical_avg_sales","total_customers","avg_daily_customers","sales_per_customer","trading_days","rank_by_avg_sales","rank_by_total_sales","rank_by_efficiency","percentile","promo_day_pct","growth_pct","historical_cv_pct","rfm_segment","composite_score"
470,"a","c","50","Low risk","Hard to forecast","Daily","Premium","13437","925","20.57","34.8","20.9","10543","42955","2644","190762","94059","6.9","OK       - Stock sufficient","7.5","0.94","47030","12569","17.0","24","570","10174712","13112","1377377","1775","7.33","776","25","30","493","97.8","44.8","1.8","24.0","Star",9
335,"b","a","90","Medium risk","Hard to forecast","Daily","Premium","13274","3236","20.89","29.1","16.2","17173","49070","9248","195084","92918","24.4","MONITOR  - Reorder soon","6.6","1.07","46459","14184","16.3","25","584","12541731","13314","2246936","2385","5.50","942","24","11","574","97.9","38.2","6.0","35.8","High Volume",6
1027,"a","c","190","Low risk","Hard to forecast","Daily","Premium","13208","1595","21.68","26.1","22.7","12742","44182","4558","189470","92456","12.1","MONITOR  - Reorder soon","5.6","1.24","46228","16374","22.8","26","624","8163847","13104","1032892","1658","7.79","623","26","70","453","97.8","44.1","1.6","28.7","High Volume",7
768,"a","c","2630","Low risk","Hard to forecast","Daily","Premium","13041","1566","18.02","36.4","18.3","11191","43598","4475","187049","91287","12.0","MONITOR  - Reorder soon","6.3","1.11","45644","14511","18.1","27","398","10185601","12992","1054827","1345","9.53","784","28","29","300","97.6","45.0","4.8","25.8","Star",10
84,"a","c","11810","Low risk","Forecastable","Daily","Premium","12948","1388","15.28","40.0","10.6","9621","42811","3967","185239","90636","10.7","MONITOR  - Reorder soon","6.8","1.03","45318","13295","13.7","28","216","10092722","12956","1084610","1392","9.23","779","29","32","325","97.5","44.9","4.7","22.8","Star",11
827,"a","c","250","Low risk","Highly forecastable","Daily","Premium","12851","1986","11.90","51.4","5.3","10046","44229","5676","185590","89957","15.5","MONITOR  - Reorder soon","5.6","1.26","44979","16165","9.5","29","47","10000214","12772","1302475","1663","7.69","783","30","33","462","97.4","45.1","18.6","23.8","Star",11
211,"a","c","350","Low risk","Forecastable","Daily","Premium","12815","1993","14.73","38.7","7.0","11090","44141","5696","185106","89705","15.6","MONITOR  - Reorder soon","6.1","1.15","44853","14750","16.9","30","177","10187567","12994","1164871","1486","8.67","784","27","28","373","97.7","45.0","3.5","24.4","Star",10
261,"d","c","15340","Medium risk","Hard to forecast","Daily","Premium","12799","2820","26.39","24.7","32.0","17712","46456","8059","187245","89593","22.0","MONITOR  - Reorder soon","6.9","1.02","44797","13060","14.0","31","741","9828244","12616","739220","949","12.93","779","32","35","54","97.2","44.9","0.4","38.6","High Volume",7
831,"a","a","800","Low risk","Hard to forecast","Daily","Premium","12745","1826","21.56","31.1","20.0","13071","43453","5218","183648","89215","14.3","MONITOR  - Reorder soon","6.8","1.03","44608","13151","18.4","32","617","9884733","12689","1228453","1577","7.94","779","31","34","440","97.3","44.9","1.9","28.5","High Volume",8
1014,"a","c","210","Medium risk","Hard to forecast","Daily","Premium","12578","3384","21.03","32.2","21.0","17231","47405","9671","185763","88046","26.9","OK       - Stock sufficient","7.6","0.92","44023","11541","32.7","33","593","9509102","12207","1051375","1350","8.95","779","33","36","351","97.1","44.9","-1.0","37.5","High Volume",7
444,"c","a","1700","Low risk","Hard to forecast","Daily","Premium","12451","1824","16.28","45.3","15.7","11006","42566","5213","179527","87157","14.6","MONITOR  - Reorder soon","6.6","1.05","43579","13120","15.2","34","279","9470625","12189","1105765","1423","8.56","777","34","37","383","97.0","44.9","1.9","26.9","High Volume",9
820,"a","c","1650","Low risk","Forecastable","Daily","Premium","12283","891","13.25","46.2","8.1","7198","39395","2546","174508","85981","7.3","MONITOR  - Reorder soon","6.4","1.10","42991","13522","15.4","35","91","7517399","12086","677726","1090","11.05","622","35","104","172","96.9","44.1","-2.9","18.0","Star",9
469,"c","c","710","Low risk","Hard to forecast","Daily","Premium","11961","1140","19.19","36.5","20.8","9818","39141","3258","170712","83727","9.5","MONITOR  - Reorder soon","6.5","1.08","41864","12873","23.4","36","479","9330742","11901","1192174","1521","7.75","784","37","38","456","96.8","45.0","-2.8","25.6","Star",10
1018,"c","c","140","Low risk","Hard to forecast","Daily","Premium","11877","1061","16.34","42.8","15.8","8579","38663","3032","169310","83139","8.9","OK       - Stock sufficient","7.0","0.99","41570","11812","14.5","37","283","9187204","11748","1063112","1359","8.56","782","39","40","383","96.6","45.0","1.3","24.2","Star",11
1092,"a","a","300","Low risk","Highly forecastable","Daily","Premium","11817","970","10.37","56.4","1.6","6274","38223","2772","168210","82719","8.2","MONITOR  - Reorder soon","5.6","1.25","41360","14765","21.0","38","26","7439455","11961","724644","1165","10.23","622","36","110","239","96.9","44.1","6.7","15.7","Star",9
903,"d","c","7290","Low risk","Forecastable","Daily","Premium","11813","965","13.10","47.5","7.1","7180","38197","2758","168140","82691","8.2","MONITOR  - Reorder soon","6.0","1.16","41346","13694","13.6","39","86","7300878","11738","508657","818","14.31","622","40","126","9","96.5","44.1","2.0","18.8","Star",9
125,"a","a","760","Low risk","Forecastable","Daily","Premium","11773","1466","15.45","38.3","9.9","9388","39509","4190","169012","82411","12.5","MONITOR  - Reorder soon","6.3","1.12","41206","13127","15.2","40","227","9280089","11837","1233970","1574","7.46","784","38","39","480","96.7","45.0","1.5","23.2","Star",12
259,"b","b","210","Low risk","Highly forecastable","Daily","Premium","11658","1754","8.81","66.3","2.8","7948","39987","5013","168225","81606","15.0","MONITOR  - Reorder soon","6.5","1.07","40803","12514","5.8","41","7","10851871","11656","2210980","2375","4.88","931","41","21","575","96.4","38.2","16.3","21.5","Star",9
640,"d","c","8040","Low risk","Hard to forecast","Daily","Premium","11509","977","17.34","37.3","17.3","8496","37319","2792","163918","80563","8.5","MONITOR  - Reorder soon","6.5","1.07","40282","12350","11.3","42","352","8984969","11534","685137","880","13.00","779","44","44","50","96.1","44.9","6.8","23.0","Star",11
390,"a","c","1600","Low risk","Hard to forecast","Daily","Premium","11494","1132","17.04","34.6","15.4","8833","37717","3235","164151","80458","9.8","MONITOR  - Reorder soon","6.3","1.10","40229","12681","17.0","43","334","9023552","11569","832564","1067","10.74","780","42","42","194","96.3","45.3","2.7","23.3","Star",11
449,"a","c","120","Low risk","Forecastable","Daily","Premium","11413","1516","17.16","35.6","13.3","9930","38572","4333","164115","79891","13.3","MONITOR  - Reorder soon","6.7","1.05","39946","11947","12.1","44","340","8789176","11254","1198781","1535","7.26","781","47","45","500","95.9","44.8","-3.1","25.7","Star",9
1075,"a","c","1410","Low risk","Highly forecastable","Daily","Premium","11377","900","8.81","66.0","1.4","5437","36703","2572","161850","79639","7.9","OK       - Stock sufficient","7.0","1.00","39820","11371","6.1","45","7","9004545","11485","856724","1093","10.48","784","45","43","216","96.1","45.0","0.6","13.7","Star",11
479,"a","a","320","Low risk","Forecastable","Daily","Premium","11311","1826","16.47","40.5","13.3","10543","39151","5218","163572","79177","16.1","MONITOR  - Reorder soon","5.9","1.19","39589","13508","20.7","46","291","8782548","11231","1039144","1329","8.36","782","48","46","401","95.8","44.9","4.3","27.0","High Volume",9
974,"a","a","150","Low risk","Forecastable","Daily","Premium","11248","1176","12.07","47.9","3.5","7241","37105","3361","160833","78736","10.5","MONITOR  - Reorder soon","5.9","1.19","39368","13363","16.0","47","54","7178474","11541","971204","1561","7.36","622","43","140","490","96.2","44.1","9.9","18.8","Star",9
207,"a","a","6870","Low risk","Hard to forecast","Daily","Premium","11245","1860","18.84","33.8","17.9","11370","39051","5316","162746","78715","16.5","MONITOR  - Reorder soon","6.5","1.08","39358","12192","14.8","48","456","8768418","11184","1019499","1300","8.47","784","50","47","391","95.6","45.0","1.4","29.1","High Volume",9
539,"a","a","770","Low risk","Highly forecastable","Daily","Premium","11244","817","10.68","53.9","1.5","5767","36067","2335","159751","78708","7.3","MONITOR  - Reorder soon","6.2","1.13","39354","12705","13.1","49","31","7035419","11311","710498","1142","9.86","622","46","155","270","96.0","44.1","2.1","15.2","Star",9
1066,"a","a","3350","Low risk","Highly forecastable","Daily","Premium","11211","817","12.50","51.2","6.0","6340","35968","2335","159289","78477","7.3","OK       - Stock sufficient","8.3","0.84","39239","9431","22.9","50","65","8626583","11074","877097","1126","9.80","779","53","49","275","95.3","44.9","-1.0","17.4","Star",11
25,"c","a","430","Low risk","Forecastable","Daily","Premium","11155","1328","18.12","37.5","12.4","9572","37260","3795","159965","78085","11.9","OK       - Stock sufficient","7.5","0.94","39043","10443","15.5","51","404","8376557","11169","1177772","1570","7.05","750","51","58","518","95.5","45.1","-4.9","25.1","Star",11
234,"d","a","4370","Low risk","Hard to forecast","Daily","Premium","11138","1502","24.11","28.2","29.2","11967","37707","4293","160225","77966","13.5","OK       - Stock sufficient","7.2","0.97","38983","10786","18.5","52","712","8625334","11072","798258","1025","10.61","779","54","50","205","95.2","44.9","2.0","31.7","High Volume",7
682,"b","a","150","Medium risk","Forecastable","Daily","Premium","11111","2340","15.33","40.6","6.9","11555","40020","6687","162241","77777","21.1","MONITOR  - Reorder soon","6.9","1.02","38889","11305","11.0","53","219","10557379","11207","1656830","1759","6.28","942","49","24","561","95.7","38.2","1.8","29.0","High Volume",7
726,"a","c","40540","Medium risk","Hard to forecast","Daily","Premium","11107","2643","19.60","33.4","20.5","13775","40874","7553","163051","77749","23.8","MONITOR  - Reorder soon","6.5","1.08","38875","12035","15.4","54","508","8617965","11049","830336","1065","10.23","780","55","51","239","95.2","45.1","4.2","35.5","High Volume",9
416,"a","c","4650","Low risk","Forecastable","Daily","Premium","11022","1049","14.97","40.4","9.5","7713","36064","2998","157306","77154","9.5","MONITOR  - Reorder soon","6.5","1.07","38577","11780","12.8","55","198","8633413","11012","1096337","1398","7.81","784","57","48","451","95.0","45.0","6.5","21.2","Star",12
502,"a","a","220","Low risk","Hard to forecast","Daily","Premium","11004","1037","17.18","36.1","16.2","8366","35976","2964","157020","77028","9.4","MONITOR  - Reorder soon","6.7","1.05","38514","11526","13.2","56","341","8377408","10824","1176212","1520","7.06","774","63","57","517","94.4","45.2","-3.0","24.1","Star",11
713,"a","c","220","Low risk","Hard to forecast","Daily","Premium","10968","922","20.12","34.0","21.0","8942","35539","2635","156187","76776","8.4","OK       - Stock sufficient","8.6","0.81","38388","8935","34.7","57","546","8349365","10718","1023424","1314","8.08","779","68","59","427","94.0","44.9","-10.0","25.1","Star",10
57,"d","c","420","Low risk","Hard to forecast","Daily","Premium","10956","1961","22.06","35.0","25.0","12512","38472","5604","158988","76692","17.9","OK       - Stock sufficient","7.6","0.92","38346","10086","12.1","58","638","8155633","10606","761161","990","10.54","769","76","71","211","93.3","45.1","-20.1","34.8","High Volume",9
906,"a","a","90","Low risk","Hard to forecast","Daily","Premium","10952","1149","17.34","38.6","20.1","8711","36140","3284","156612","76664","10.5","MONITOR  - Reorder soon","6.5","1.07","38332","11754","10.4","59","352","8535775","10929","992530","1271","8.53","781","59","53","385","94.8","44.8","-5.0","24.4","Star",8
342,"d","c","15770","Low risk","Forecastable","Daily","Premium","10882","667","13.99","41.7","7.1","6257","34552","1906","154254","76174","6.1","MONITOR  - Reorder soon","5.8","1.21","38087","13136","19.4","60","125","6895670","11104","527685","850","13.00","621","52","168","50","95.4","44.0","4.7","18.7","Star",9
432,"a","a","810","Low risk","Highly forecastable","Daily","Premium","10876","1672","12.44","50.6","1.9","8645","37406","4778","157042","76132","15.4","MONITOR  - Reorder soon","5.9","1.18","38066","12885","13.4","61","63","8610571","10983","1218907","1555","7.05","784","58","52","518","94.9","45.0","7.0","22.1","Star",12
108,"d","c","2190","Low risk","Forecastable","Daily","Premium","10843","1171","12.52","46.2","5.8","7226","35876","3347","155149","75901","10.8","MONITOR  - Reorder soon","5.5","1.28","37951","13871","15.3","62","66","6863994","11035","527942","849","12.92","622","56","171","55","95.1","44.1","19.4","21.2","Star",9
769,"b","b","840","Low risk","Highly forecastable","Daily","Premium","10827","1108","8.82","65.7","1.9","5896","35648","3167","154745","75789","10.2","MONITOR  - Reorder soon","6.5","1.08","37895","11644","8.3","63","8","10198000","10826","2902351","3081","3.53","942","62","27","582","94.5","38.2","18.1","17.1","Star",9
532,"a","c","1070","Low risk","Highly forecastable","Daily","Premium","10800","736","13.76","53.3","2.5","6350","34503","2103","153303","75600","6.8","OK       - Stock sufficient","7.1","0.99","37800","10716","5.1","64","110","8487100","10895","996269","1279","8.49","779","60","54","389","94.7","44.9","5.0","17.7","Star",11
464,"c","a","520","Low risk","Forecastable","Daily","Premium","10793","1294","14.11","45.6","10.1","8050","36077","3698","154800","75551","12.0","MONITOR  - Reorder soon","6.6","1.06","37776","11465","11.9","65","132","8343864","10643","1023585","1306","8.14","784","72","61","422","93.6","45.0","0.3","23.1","Star",12
527,"d","c","5830","Low risk","Forecastable","Daily","Premium","10787","741","14.67","43.8","9.0","6640","34479","2118","153136","75509","6.9","MONITOR  - Reorder soon","6.7","1.04","37755","11259","14.0","66","172","8383796","10735","781383","1000","10.67","781","65","56","201","94.3","44.9","5.2","20.3","Star",11
423,"b","a","1270","Low risk","Highly forecastable","Daily","Premium","10751","1452","10.35","59.2","3.3","7330","36403","4150","154664","75257","13.5","MONITOR  - Reorder soon","6.3","1.11","37629","11929","8.3","67","25","10200356","10828","1776735","1886","5.74","942","61","26","572","94.6","38.2","2.4","20.0","Star",9
963,"a","c","23620","Medium risk","Hard to forecast","Daily","Premium","10744","3384","21.05","28.5","18.6","16135","41903","9671","160087","75208","31.5","MONITOR  - Reorder soon","6.0","1.17","37604","12549","22.3","68","595","8385406","10764","791630","1016","10.44","779","64","55","220","94.3","45.1","5.8","41.9","High Volume",9
528,"a","c","20620","Low risk","Hard to forecast","Daily","Premium","10732","1370","19.69","30.7","20.3","9954","36111","3915","154163","75124","12.8","MONITOR  - Reorder soon","6.4","1.10","37562","11767","13.4","69","516","8338762","10704","744295","955","11.06","779","70","62","171","93.8","44.9","2.9","27.0","High Volume",9
195,"a","c","220","Low risk","Hard to forecast","Daily","Premium","10715","830","18.75","34.8","16.7","8114","34517","2372","152382","75005","7.7","MONITOR  - Reorder soon","6.9","1.02","37503","10891","16.1","70","449","8345567","10713","1011485","1298","8.18","779","69","60","418","93.9","44.9","3.4","23.2","Star",11
526,"a","a","120","Low risk","Hard to forecast","Daily","Premium","10695","1931","20.30","31.6","19.0","11723","37604","5519","155249","74865","18.1","MONITOR  - Reorder soon","6.5","1.08","37433","11557","13.3","71","554","8312841","10630","1139140","1457","7.18","782","74","64","508","93.4","45.1","4.3","30.4","High Volume",9
252,"d","c","22330","Low risk","Hard to forecast","Daily","Premium","10659","1157","20.89","31.6","22.4","9670","35284","3307","152533","74613","10.9","MONITOR  - Reorder soon","6.3","1.11","37307","11862","20.4","72","584","8269484","10616","630702","810","12.96","779","75","67","51","93.4","44.9","-2.5","27.2","High Volume",9
645,"a","a","90","Low risk","Hard to forecast","Daily","Premium","10650","839","20.63","28.8","23.1","8677","34348","2398","151498","74550","7.9","WATCH    - Demand surging","5.3","1.31","97661","13967","28.9","73","573","8337410","10730","1031306","1327","8.00","777","66","63","435","94.2","44.8","-1.9","25.6","Star",9
697,"d","a","3780","Low risk","Hard to forecast","Daily","Premium","10635","970","17.44","33.6","16.5","8073","34677","2772","151662","74445","9.1","MONITOR  - Reorder soon","6.7","1.05","37223","11145","14.2","74","359","8301159","10656","782616","1005","10.50","779","71","65","214","93.7","44.9","7.4","23.9","Star",10
545,"a","c","5020","Low risk","Hard to forecast","Daily","Premium","10603","1497","20.21","27.8","22.0","10402","36087","4278","152720","74221","14.1","MONITOR  - Reorder soon","6.2","1.12","37111","11891","18.1","75","550","8284865","10635","799891","1027","10.23","779","73","66","239","93.5","44.9","6.7","28.4","High Volume",8
729,"c","c","8980","Low risk","Forecastable","Daily","Premium","10531","1374","17.49","36.5","14.0","9191","35520","3927","151361","73717","13.0","MONITOR  - Reorder soon","6.6","1.07","36859","11220","20.6","76","362","8217604","10549","843139","1082","9.64","779","77","68","289","93.2","44.9","7.2","26.1","Star",10
755,"d","c","13130","Low risk","Forecastable","Daily","Premium","10498","1231","13.85","46.7","9.1","7673","35012","3518","150490","73486","11.7","MONITOR  - Reorder soon","6.4","1.09","36743","11468","9.2","77","116","8187392","10483","699323","895","11.62","781","78","69","130","93.1","45.1","7.5","22.5","Star",12
909,"a","c","1680","Low risk","Hard to forecast","Daily","Premium","10487","1149","20.53","28.0","23.3","9437","34745","3284","150102","73409","11.0","WATCH    - Demand surging","5.1","1.37","100570","14392","21.4","78","566","6512493","10729","619197","1020","10.35","607","67","223","228","94.1","44.0","12.6","30.3","High Volume",6
983,"a","a","40","Low risk","Hard to forecast","Daily","Premium","10405","1433","21.95","32.2","24.8","10622","35310","4095","149765","72835","13.8","OK       - Stock sufficient","8.0","0.87","36418","9056","25.4","79","634","7941077","10286","1068066","1384","7.37","772","83","82","489","92.6","45.3","-21.5","31.1","High Volume",9
704,"d","c","1910","Low risk","Forecastable","Daily","Premium","10383","1646","12.76","46.0","5.2","8490","35853","4704","150066","72681","15.9","MONITOR  - Reorder soon","6.8","1.03","36341","10731","6.7","80","74","8138397","10394","843720","1078","9.62","783","79","72","291","93.0","45.0","9.8","23.5","Star",10
580,"a","c","170","Low risk","Forecastable","Daily","Premium","10381","994","14.87","43.4","9.6","7252","33984","2841","148175","72667","9.6","OK       - Stock sufficient","7.6","0.92","36334","9546","14.9","81","188","7994967","10198","1256554","1603","6.34","784","89","77","559","92.1","45.0","-3.7","22.7","Star",12
64,"d","c","22560","Low risk","Hard to forecast","Daily","Premium","10374","983","18.29","36.3","19.0","8232","33931","2809","148045","72618","9.5","MONITOR  - Reorder soon","6.0","1.17","36309","12131","15.0","82","416","8070070","10360","617633","793","12.94","779","80","74","53","92.9","44.9","14.2","25.5","Star",10
358,"a","a","2890","Low risk","Hard to forecast","Daily","Premium","10327","1104","18.47","36.1","18.0","8606","34136","3155","147733","72289","10.7","MONITOR  - Reorder soon","6.8","1.03","36145","10605","16.9","83","430","8028461","10306","874499","1123","9.07","779","82","75","340","92.7","44.9","2.6","25.2","Star",10
388,"a","a","2260","Low risk","Forecastable","Daily","Premium","10281","1293","16.82","34.1","13.5","8637","34538","3695","147629","71967","12.6","OK       - Stock sufficient","7.2","0.98","35984","10025","13.0","84","319","7990920","10258","854131","1096","9.27","779","84","78","322","92.5","44.9","5.1","24.4","Star",10
396,"a","c","23130","Medium risk","Hard to forecast","Daily","Premium","10265","2431","17.25","38.5","16.2","12008","37743","6948","150658","71855","23.7","MONITOR  - Reorder soon","6.3","1.11","35928","11363","16.0","85","346","7973232","10222","840769","1078","9.44","780","88","81","306","92.2","45.0","4.9","33.8","High Volume",9
787,"c","c","3210","Low risk","Forecastable","Daily","Premium","10265","1450","15.16","43.1","12.9","8591","34939","4144","147854","71855","14.1","MONITOR  - Reorder soon","6.5","1.08","35928","11077","13.4","85","209","7977175","10227","890735","1142","8.88","780","87","79","357","92.3","45.1","7.3","25.4","Star",11
389,"a","c","6690","Low risk","Forecastable","Daily","Premium","10251","1438","13.40","44.7","5.3","8035","34863","4110","147624","71757","14.0","MONITOR  - Reorder soon","6.4","1.09","35879","11207","12.4","86","97","8104523","10337","992082","1265","8.10","784","81","73","426","92.8","45.0","10.6","22.5","Star",12
1112,"c","c","1880","Low risk","Hard to forecast","Daily","Premium","10243","1617","23.12","28.0","24.6","11389","35350","4621","148023","71701","15.8","OK       - Stock sufficient","7.7","0.90","35851","9266","15.5","87","677","7974294","10237","653276","839","11.99","779","85","80","103","92.5","44.9","-16.5","32.6","High Volume",7
525,"d","c","1870","Low risk","Highly forecastable","Daily","Premium","10240","745","12.27","50.8","4.8","5720","32849","2129","145489","71680","7.3","OK       - Stock sufficient","7.2","0.97","35840","9979","8.8","88","61","8012460","10233","685569","876","11.64","783","86","76","128","92.4","45.1","-1.9","16.6","Star",12
