"Store","year","month","month_name","split","trading_days","actual_monthly_sales","forecast_monthly_sales","avg_daily_actual","avg_daily_forecast","monthly_error","monthly_ape","upper_95_monthly","lower_95_monthly","excellent_days","poor_days"
1,2015,3,"Mar","test","26","118917","128471","4574","4941","-9554","8.03","174569","82373","8","7"
1,2015,4,"Apr","test","24","110655","112766","4611","4699","-2111","1.91","155318","70214","8","8"
1,2015,5,"May","test","23","105220","110888","4575","4821","-5668","5.39","151667","70109","12","2"
1,2015,6,"Jun","test","25","110011","117199","4400","4688","-7188","6.53","161524","72874","4","3"
1,2015,7,"Jul","test","27","121266","125758","4491","4658","-4492","3.70","173629","77887","9","1"
2,2013,1,"Jan","train","12","51609","56373","4301","4698","-4764","9.23","84117","28629","6","2"
2,2013,2,"Feb","train","24","111114","114693","4630","4779","-3579","3.22","170181","59205","8","4"
2,2013,3,"Mar","train","25","130525","121135","5221","4845","9390","7.19","178935","63335","7","5"
2,2013,4,"Apr","train","25","116878","122192","4675","4888","-5314","4.55","179992","64392","8","5"
2,2013,5,"May","train","24","116379","114427","4849","4768","1952","1.68","169915","58939","9","1"
2,2013,6,"Jun","train","25","115871","119472","4635","4779","-3601","3.11","177272","61672","8","4"
2,2013,7,"Jul","train","27","138778","135571","5140","5021","3207","2.31","197995","73147","7","8"
2,2013,8,"Aug","train","27","125163","125995","4636","4666","-832","0.66","188419","63571","9","4"
2,2013,9,"Sep","train","25","119081","122546","4763","4902","-3465","2.91","180346","64746","6","3"
2,2013,10,"Oct","train","26","120362","124811","4629","4800","-4449","3.70","184923","64699","12","4"
2,2013,11,"Nov","train","26","128628","127316","4947","4897","1312","1.02","187428","67204","11","2"
2,2013,12,"Dec","train","24","150214","133048","6259","5544","17166","11.43","188536","77560","7","10"
2,2014,1,"Jan","train","26","122249","124970","4702","4807","-2721","2.23","185082","64858","8","4"
2,2014,2,"Feb","train","24","114449","117557","4769","4898","-3108","2.72","173045","62069","7","3"
2,2014,3,"Mar","train","26","125031","130298","4809","5011","-5267","4.21","190410","70186","10","6"
2,2014,4,"Apr","train","24","122853","120191","5119","5008","2662","2.17","175679","64703","7","5"
2,2014,5,"May","train","25","118629","121202","4745","4848","-2573","2.17","179002","63402","7","5"
2,2014,6,"Jun","train","24","122758","119599","5115","4983","3159","2.57","175087","64111","12","3"
2,2014,7,"Jul","train","27","132209","137720","4897","5101","-5511","4.17","200144","75296","9","6"
2,2014,8,"Aug","train","26","120952","124298","4652","4781","-3346","2.77","184410","64186","13","4"
2,2014,9,"Sep","train","26","128828","130827","4955","5032","-1999","1.55","190939","70715","7","6"
2,2014,10,"Oct","train","26","121397","127632","4669","4909","-6235","5.14","187744","67520","13","5"
2,2014,11,"Nov","train","25","132657","125563","5306","5023","7094","5.35","183363","67763","8","2"
2,2014,12,"Dec","train","25","154420","143552","6177","5742","10868","7.04","201352","85752","2","6"
2,2015,1,"Jan","test","26","127498","125918","4904","4843","1580","1.24","186030","65806","12","4"
2,2015,2,"Feb","test","24","114078","120420","4753","5018","-6342","5.56","175908","64932","8","5"
2,2015,3,"Mar","test","26","134574","135844","5176","5225","-1270","0.94","195956","75732","9","6"
2,2015,4,"Apr","test","24","121012","122777","5042","5116","-1765","1.46","178265","67289","6","6"
2,2015,5,"May","test","23","115535","113180","5023","4921","2355","2.04","166356","60004","10","1"
2,2015,6,"Jun","test","26","132800","134108","5108","5158","-1308","0.98","194220","73996","5","6"
2,2015,7,"Jul","test","27","133765","140366","4954","5199","-6601","4.93","202790","77942","11","4"
3,2013,1,"Jan","train","12","71872","80561","5989","6713","-8689","12.09","122105","39017","4","4"
3,2013,2,"Feb","train","24","160167","162893","6674","6787","-2726","1.70","245981","79805","5","6"
3,2013,3,"Mar","train","25","189179","173699","7567","6948","15480","8.18","260249","87149","4","4"
3,2013,4,"Apr","train","25","172188","173166","6888","6927","-978","0.57","259716","86616","8","4"
3,2013,5,"May","train","23","170374","158935","7408","6910","11439","6.71","238561","79309","6","3"
3,2013,6,"Jun","train","25","170462","173584","6818","6943","-3122","1.83","260134","87034","7","5"
3,2013,7,"Jul","train","27","206426","193156","7645","7154","13270","6.43","286630","99682","3","8"
3,2013,8,"Aug","train","27","178302","178592","6604","6615","-290","0.16","272066","85118","5","5"
3,2013,9,"Sep","train","25","163290","171010","6532","6840","-7720","4.73","257560","84460","4","7"
3,2013,10,"Oct","train","26","168277","173954","6472","6691","-5677","3.37","263966","83942","6","5"
3,2013,11,"Nov","train","25","169580","173301","6783","6932","-3721","2.19","259851","86751","7","7"
3,2013,12,"Dec","train","24","214367","189935","8932","7914","24432","11.40","273023","106847","4","10"
3,2014,1,"Jan","train","26","174027","175200","6693","6738","-1173","0.67","265212","85188","5","8"
3,2014,2,"Feb","train","24","157254","163237","6552","6802","-5983","3.80","246325","80149","6","7"
3,2014,3,"Mar","train","26","174463","182525","6710","7020","-8062","4.62","272537","92513","7","10"
3,2014,4,"Apr","train","24","162843","165100","6785","6879","-2257","1.39","248188","82012","3","5"
3,2014,5,"May","train","25","163497","172136","6540","6885","-8639","5.28","258686","85586","10","7"
3,2014,6,"Jun","train","23","171301","162323","7448","7058","8978","5.24","241949","82697","6","5"
3,2014,7,"Jul","train","27","181131","192136","6709","7116","-11005","6.08","285610","98662","10","7"
3,2014,8,"Aug","train","26","162649","172262","6256","6625","-9613","5.91","262274","82250","7","7"
3,2014,9,"Sep","train","26","173615","178814","6678","6877","-5199","2.99","268826","88802","2","8"
3,2014,10,"Oct","train","26","162365","173680","6245","6680","-11315","6.97","263692","83668","8","6"
3,2014,11,"Nov","train","24","178244","169122","7427","7047","9122","5.12","252210","86034","7","4"
3,2014,12,"Dec","train","25","211560","198179","8462","7927","13381","6.32","284729","111629","3","11"
3,2015,1,"Jan","test","26","167795","173067","6454","6656","-5272","3.14","263079","83055","14","4"
3,2015,2,"Feb","test","24","153537","163578","6397","6816","-10041","6.54","246666","80490","7","6"
3,2015,3,"Mar","test","26","176835","186047","6801","7156","-9212","5.21","276059","96035","10","9"
3,2015,4,"Apr","test","24","171183","164796","7133","6867","6387","3.73","247884","81708","2","5"
3,2015,5,"May","test","23","164244","156829","7141","6819","7415","4.51","236455","77203","10","2"
3,2015,6,"Jun","test","25","189918","178852","7597","7154","11066","5.83","265402","92302","5","3"
3,2015,7,"Jul","test","27","183535","192157","6798","7117","-8622","4.70","285631","98683","7","4"
4,2013,1,"Jan","train","12","108654","109692","9055","9141","-1038","0.96","150564","68820","5","1"
4,2013,2,"Feb","train","24","230473","225706","9603","9404","4767","2.07","307450","143962","10","1"
4,2013,3,"Mar","train","25","255514","237770","10221","9511","17744","6.94","322920","152620","14","2"
4,2013,4,"Apr","train","25","226981","233363","9079","9335","-6382","2.81","318513","148213","15","5"
4,2013,5,"May","train","24","235284","226578","9804","9441","8706","3.70","308322","144834","14","2"
4,2013,6,"Jun","train","25","235227","237055","9409","9482","-1828","0.78","322205","151905","13","0"
4,2013,7,"Jul","train","27","228096","248657","8448","9210","-20561","9.01","340619","156695","9","8"
4,2013,8,"Aug","train","27","238263","252182","8825","9340","-13919","5.84","344144","160220","8","3"
4,2013,9,"Sep","train","25","219550","231630","8782","9265","-12080","5.50","316780","146480","10","1"
4,2013,10,"Oct","train","26","224903","238071","8650","9157","-13168","5.85","326627","149515","14","5"
4,2013,11,"Nov","train","26","238938","248946","9190","9575","-10008","4.19","337502","160390","15","2"
4,2013,12,"Dec","train","24","284725","255544","11864","10648","29181","10.25","337288","173800","7","4"
4,2014,1,"Jan","train","26","234810","243747","9031","9375","-8937","3.81","332303","155191","15","3"
4,2014,2,"Feb","train","24","224948","232170","9373","9674","-7222","3.21","313914","150426","11","2"
4,2014,3,"Mar","train","26","237913","255563","9151","9829","-17650","7.42","344119","167007","11","7"
4,2014,4,"Apr","train","24","231535","228657","9647","9527","2878","1.24","310401","146913","9","5"
4,2014,5,"May","train","25","239720","245148","9589","9806","-5428","2.26","330298","159998","10","4"
4,2014,6,"Jun","train","24","235443","233614","9810","9734","1829","0.78","315358","151870","11","0"
4,2014,7,"Jul","train","27","261228","254064","9675","9410","7164","2.74","346026","162102","10","1"
4,2014,8,"Aug","train","26","258473","250406","9941","9631","8067","3.12","338962","161850","19","0"
4,2014,9,"Sep","train","26","244563","247602","9406","9523","-3039","1.24","336158","159046","11","5"
4,2014,10,"Oct","train","26","245877","244724","9457","9412","1153","0.47","333280","156168","15","0"
4,2014,11,"Nov","train","25","261404","246284","10456","9851","15120","5.78","331434","161134","12","1"
4,2014,12,"Dec","train","25","296075","271521","11843","10861","24554","8.29","356671","186371","6","3"
4,2015,1,"Jan","test","26","246786","251792","9492","9684","-5006","2.03","340348","163236","17","0"
4,2015,2,"Feb","test","24","228867","238635","9536","9943","-9768","4.27","320379","156891","12","1"
4,2015,3,"Mar","test","26","249584","261871","9599","10072","-12287","4.92","350427","173315","12","5"
4,2015,4,"Apr","test","24","248088","234772","10337","9782","13316","5.37","316516","153028","11","8"
4,2015,5,"May","test","23","232948","230675","10128","10029","2273","0.98","309013","152337","16","1"
4,2015,6,"Jun","test","26","248643","261107","9563","10043","-12464","5.01","349663","172551","9","1"
4,2015,7,"Jul","test","27","276935","261395","10257","9681","15540","5.61","353357","169433","13","1"
5,2013,1,"Jan","train","12","50182","53458","4182","4455","-3276","6.53","81466","25450","6","2"
5,2013,2,"Feb","train","24","101126","108090","4214","4504","-6964","6.89","164106","52074","9","6"
5,2013,3,"Mar","train","25","116860","111048","4674","4442","5812","4.97","169398","52698","6","6"
5,2013,4,"Apr","train","25","106141","114823","4246","4593","-8682","8.18","173173","56473","8","6"
5,2013,5,"May","train","24","110292","109132","4596","4547","1160","1.05","165148","53116","9","1"
5,2013,6,"Jun","train","24","105280","106258","4387","4427","-978","0.93","162274","50242","9","3"
5,2013,7,"Jul","train","27","151892","133431","5626","4942","18461","12.15","196449","70413","8","4"
5,2013,8,"Aug","train","27","125969","120764","4666","4473","5205","4.13","183782","57746","8","2"
5,2013,9,"Sep","train","25","110338","115772","4414","4631","-5434","4.92","174122","57422","7","5"
5,2013,10,"Oct","train","25","115805","116177","4632","4647","-372","0.32","174527","57827","9","3"
5,2013,11,"Nov","train","25","119567","116931","4783","4677","2636","2.20","175281","58581","9","4"
5,2013,12,"Dec","train","24","147516","128813","6147","5367","18703","12.68","184829","72797","6","13"
5,2014,1,"Jan","train","26","112339","118458","4321","4556","-6119","5.45","179142","57774","10","6"
5,2014,2,"Feb","train","24","107503","110309","4479","4596","-2806","2.61","166325","54293","9","7"
5,2014,3,"Mar","train","26","109579","119466","4215","4595","-9887","9.02","180150","58782","9","7"
5,2014,4,"Apr","train","24","114394","111332","4766","4639","3062","2.68","167348","55316","3","12"
5,2014,5,"May","train","25","112680","114773","4507","4591","-2093","1.86","173123","56423","7","5"
5,2014,6,"Jun","train","24","112854","112586","4702","4691","268","0.24","168602","56570","7","4"
5,2014,7,"Jul","train","27","122489","134562","4537","4984","-12073","9.86","197580","71544","11","8"
5,2014,8,"Aug","train","26","110536","118518","4251","4558","-7982","7.22","179202","57834","7","5"
5,2014,9,"Sep","train","26","118728","123119","4566","4735","-4391","3.70","183803","62435","11","6"
5,2014,10,"Oct","train","25","113204","118119","4528","4725","-4915","4.34","176469","59769","7","6"
5,2014,11,"Nov","train","24","123304","114165","5138","4757","9139","7.41","170181","58149","13","1"
5,2014,12,"Dec","train","25","148855","137294","5954","5492","11561","7.77","195644","78944","6","8"
5,2015,1,"Jan","test","26","119043","118134","4579","4544","909","0.76","178818","57450","15","3"
5,2015,2,"Feb","test","24","105065","112530","4378","4689","-7465","7.11","168546","56514","12","5"
5,2015,3,"Mar","test","26","121681","124884","4680","4803","-3203","2.63","185568","64200","8","6"
5,2015,4,"Apr","test","24","113909","113278","4746","4720","631","0.55","169294","57262","5","7"
5,2015,5,"May","test","23","108196","105854","4704","4602","2342","2.16","159536","52172","11","2"
5,2015,6,"Jun","test","26","124041","126201","4771","4854","-2160","1.74","186885","65517","6","5"
5,2015,7,"Jul","test","27","124190","136895","4600","5070","-12705","10.23","199913","73877","6","7"
6,2013,1,"Jan","train","12","69977","67904","5831","5659","2073","2.96","93068","42740","8","0"
6,2013,2,"Feb","train","24","139655","138094","5819","5754","1561","1.12","188422","87766","10","0"
6,2013,3,"Mar","train","25","162550","148404","6502","5936","14146","8.70","200829","95979","11","1"
6,2013,4,"Apr","train","25","154269","152322","6171","6093","1947","1.26","204747","99897","12","1"
6,2013,5,"May","train","24","157972","144894","6582","6037","13078","8.28","195222","94566","13","2"
6,2013,6,"Jun","train","25","155385","147333","6215","5893","8052","5.18","199758","94908","11","0"
6,2013,7,"Jul","train","27","174135","163232","6449","6046","10903","6.26","219851","106613","11","1"
6,2013,8,"Aug","train","27","159836","151460","5920","5610","8376","5.24","208079","94841","16","1"
6,2013,9,"Sep","train","25","151382","146788","6055","5872","4594","3.03","199213","94363","11","0"
6,2013,10,"Oct","train","25","155627","147837","6225","5913","7790","5.01","200262","95412","10","0"
6,2013,11,"Nov","train","25","170431","155961","6817","6238","14470","8.49","208386","103536","11","0"
6,2013,12,"Dec","train","24","173192","159230","7216","6635","13962","8.06","209558","108902","5","5"
6,2014,1,"Jan","train","26","123751","135034","4760","5194","-11283","9.12","189556","80512","14","5"
6,2014,2,"Feb","train","24","118179","126319","4924","5263","-8140","6.89","176647","75991","11","5"
6,2014,3,"Mar","train","26","131873","142789","5072","5492","-10916","8.28","197311","88267","10","5"
6,2014,4,"Apr","train","24","133723","133117","5572","5547","606","0.45","183445","82789","5","5"
6,2014,5,"May","train","25","128694","137732","5148","5509","-9038","7.02","190157","85307","12","5"
6,2014,6,"Jun","train","24","124986","131631","5208","5485","-6645","5.32","181959","81303","11","5"
6,2014,7,"Jul","train","27","134981","148853","4999","5513","-13872","10.28","205472","92234","13","7"
6,2014,8,"Aug","train","26","118651","133036","4564","5117","-14385","12.12","187558","78514","16","7"
6,2014,9,"Sep","train","26","127896","140268","4919","5395","-12372","9.67","194790","85746","11","6"
6,2014,10,"Oct","train","25","123609","134849","4944","5394","-11240","9.09","187274","82424","8","3"
6,2014,11,"Nov","train","24","135491","137525","5645","5730","-2034","1.50","187853","87197","14","3"
6,2014,12,"Dec","train","25","151913","153535","6077","6141","-1622","1.07","205960","101110","6","6"
6,2015,1,"Jan","test","26","124836","120188","4801","4623","4648","3.72","174710","65666","10","3"
6,2015,2,"Feb","test","24","108714","114542","4530","4773","-5828","5.36","164870","64214","10","3"
6,2015,3,"Mar","test","26","123638","132498","4755","5096","-8860","7.17","187020","77976","12","7"
6,2015,4,"Apr","test","24","120628","120965","5026","5040","-337","0.28","171293","70637","8","7"
6,2015,5,"May","test","23","113348","113817","4928","4949","-469","0.41","162048","65586","13","2"
6,2015,6,"Jun","test","26","125511","131417","4827","5055","-5906","4.71","185939","76895","8","4"
6,2015,7,"Jul","test","27","120637","135575","4468","5021","-14938","12.38","192194","78956","12","7"
7,2013,1,"Jan","train","12","84291","94910","7024","7909","-10619","12.60","137834","51986","6","4"
7,2013,2,"Feb","train","24","178830","194391","7451","8100","-15561","8.70","280239","108543","14","4"
7,2013,3,"Mar","train","25","213082","205199","8523","8208","7883","3.70","294624","115774","10","3"
7,2013,4,"Apr","train","25","197381","213657","7895","8546","-16276","8.25","303082","124232","11","3"
7,2013,5,"May","train","24","210921","204632","8788","8526","6289","2.98","290480","118784","10","4"
7,2013,6,"Jun","train","25","211771","213622","8471","8545","-1851","0.87","303047","124197","12","1"
7,2013,7,"Jul","train","27","276280","253115","10233","9375","23165","8.38","349694","156536","9","4"
7,2013,8,"Aug","train","27","258366","246193","9569","9118","12173","4.71","342772","149614","11","1"
7,2013,9,"Sep","train","25","201378","213730","8055","8549","-12352","6.13","303155","124305","11","2"
7,2013,10,"Oct","train","27","207787","220929","7696","8183","-13142","6.32","317508","124350","13","5"
7,2013,11,"Nov","train","26","218175","221964","8391","8537","-3789","1.74","314966","128962","14","2"
7,2013,12,"Dec","train","24","251928","232408","10497","9684","19520","7.75","318256","146560","8","4"
7,2014,1,"Jan","train","26","200658","214861","7718","8264","-14203","7.08","307863","121859","12","5"
7,2014,2,"Feb","train","24","193342","202999","8056","8458","-9657","4.99","288847","117151","8","4"
7,2014,3,"Mar","train","26","204329","224872","7859","8649","-20543","10.05","317874","131870","11","7"
7,2014,4,"Apr","train","24","221394","210876","9225","8787","10518","4.75","296724","125028","6","7"
7,2014,5,"May","train","25","216630","221872","8665","8875","-5242","2.42","311297","132447","8","4"
7,2014,6,"Jun","train","24","220951","216280","9206","9012","4671","2.11","302128","130432","12","1"
7,2014,7,"Jul","train","27","267335","260439","9901","9646","6896","2.58","357018","163860","12","1"
7,2014,8,"Aug","train","26","267965","246627","10306","9486","21338","7.96","339629","153625","15","0"
7,2014,9,"Sep","train","26","231254","232488","8894","8942","-1234","0.53","325490","139486","8","3"
7,2014,10,"Oct","train","27","218849","230095","8106","8522","-11246","5.14","326674","133516","7","4"
7,2014,11,"Nov","train","25","229206","221833","9168","8873","7373","3.22","311258","132408","12","1"
7,2014,12,"Dec","train","25","265470","249588","10619","9984","15882","5.98","339013","160163","7","3"
7,2015,1,"Jan","test","26","212718","221836","8181","8532","-9118","4.29","314838","128834","10","4"
7,2015,2,"Feb","test","24","199027","211603","8293","8817","-12576","6.32","297451","125755","14","5"
7,2015,3,"Mar","test","26","215557","237868","8291","9149","-22311","10.35","330870","144866","9","5"
7,2015,4,"Apr","test","24","223841","218164","9327","9090","5677","2.54","304012","132316","8","6"
7,2015,5,"May","test","23","212391","209718","9234","9118","2673","1.26","291989","127447","14","2"
7,2015,6,"Jun","test","26","237395","246596","9131","9484","-9201","3.88","339598","153594","10","7"
7,2015,7,"Jul","test","27","277959","269601","10295","9985","8358","3.01","366180","173022","8","1"
8,2013,1,"Jan","train","12","56281","57159","4690","4763","-878","1.56","87255","27063","5","2"
8,2013,2,"Feb","train","24","119828","120033","4993","5001","-205","0.17","180225","59841","6","4"
8,2013,3,"Mar","train","25","135408","125433","5416","5017","9975","7.37","188133","62733","6","3"
8,2013,4,"Apr","train","25","127236","129180","5089","5167","-1944","1.53","191880","66480","10","4"
8,2013,5,"May","train","24","126886","120292","5287","5012","6594","5.20","180484","60100","5","1"
8,2013,6,"Jun","train","25","122294","124464","4892","4979","-2170","1.77","187164","61764","7","4"
8,2013,7,"Jul","train","27","131851","137572","4883","5095","-5721","4.34","205288","69856","8","9"
8,2013,8,"Aug","train","27","132623","131647","4912","4876","976","0.74","199363","63931","4","7"
8,2013,9,"Sep","train","25","118940","128749","4758","5150","-9809","8.25","191449","66049","6","6"
8,2013,10,"Oct","train","26","125579","135211","4830","5200","-9632","7.67","200419","70003","12","5"
8,2013,11,"Nov","train","26","132208","139555","5085","5368","-7347","5.56","204763","74347","12","3"
8,2013,12,"Dec","train","24","147117","142560","6130","5940","4557","3.10","202752","82368","3","7"
8,2014,1,"Jan","train","26","125423","133801","4824","5146","-8378","6.68","199009","68593","8","6"
8,2014,2,"Feb","train","24","123553","129035","5148","5376","-5482","4.44","189227","68843","9","6"
8,2014,3,"Mar","train","26","133297","141800","5127","5454","-8503","6.38","207008","76592","7","7"
8,2014,4,"Apr","train","24","132283","131857","5512","5494","426","0.32","192049","71665","4","5"
8,2014,5,"May","train","25","128865","132971","5155","5319","-4106","3.19","195671","70271","12","4"
8,2014,6,"Jun","train","24","132132","130913","5506","5455","1219","0.92","191105","70721","10","3"
8,2014,7,"Jul","train","27","143448","146979","5313","5444","-3531","2.46","214695","79263","6","5"
8,2014,8,"Aug","train","26","131488","135660","5057","5218","-4172","3.17","200868","70452","8","5"
8,2014,9,"Sep","train","26","147382","144199","5669","5546","3183","2.16","209407","78991","8","5"
8,2014,10,"Oct","train","26","153143","145096","5890","5581","8047","5.25","210304","79888","8","3"
8,2014,11,"Nov","train","25","165990","143764","6640","5751","22226","13.39","206464","81064","5","2"
8,2014,12,"Dec","train","25","172696","158052","6908","6322","14644","8.48","220752","95352","6","3"
8,2015,1,"Jan","test","26","153851","140269","5917","5395","13582","8.83","205477","75061","8","0"
8,2015,2,"Feb","test","24","145319","138031","6055","5751","7288","5.02","198223","77839","6","1"
8,2015,3,"Mar","test","26","161103","154690","6196","5950","6413","3.98","219898","89482","6","2"
8,2015,4,"Apr","test","24","162400","140988","6767","5875","21412","13.18","201180","80796","10","5"
8,2015,5,"May","test","23","144416","129489","6279","5630","14927","10.34","187173","71805","8","1"
8,2015,6,"Jun","test","26","168794","153654","6492","5910","15140","8.97","218862","88446","8","3"
8,2015,7,"Jul","test","27","175011","156141","6482","5783","18870","10.78","223857","88425","6","2"
9,2013,1,"Jan","train","12","59180","66209","4932","5517","-7029","11.88","96149","36269","7","3"
9,2013,2,"Feb","train","24","126826","136857","5284","5702","-10031","7.91","196737","76977","12","4"
9,2013,3,"Mar","train","25","143583","144549","5743","5782","-966","0.67","206924","82174","14","3"
9,2013,4,"Apr","train","25","136194","143718","5448","5749","-7524","5.52","206093","81343","15","1"
9,2013,5,"May","train","23","136540","134848","5937","5863","1692","1.24","192233","77463","14","3"
9,2013,6,"Jun","train","25","134549","147920","5382","5917","-13371","9.94","210295","85545","14","3"
9,2013,7,"Jul","train","27","164486","161451","6092","5980","3035","1.85","228816","94086","5","4"
9,2013,8,"Aug","train","27","150647","156412","5580","5793","-5765","3.83","223777","89047","8","3"
9,2013,9,"Sep","train","25","141926","147848","5677","5914","-5922","4.17","210223","85473","12","1"
9,2013,10,"Oct","train","26","150510","153798","5789","5915","-3288","2.18","218668","88928","11","3"
9,2013,11,"Nov","train","25","151174","156957","6047","6278","-5783","3.83","219332","94582","11","3"
9,2013,12,"Dec","train","24","174563","166946","7273","6956","7617","4.36","226826","107066","8","4"
9,2014,1,"Jan","train","26","161650","160964","6217","6191","686","0.42","225834","96094","12","2"
9,2014,2,"Feb","train","24","157066","153821","6544","6409","3245","2.07","213701","93941","10","2"
9,2014,3,"Mar","train","26","166267","170020","6395","6539","-3753","2.26","234890","105150","6","3"
9,2014,4,"Apr","train","24","156664","153296","6528","6387","3368","2.15","213176","93416","6","2"
9,2014,5,"May","train","25","163180","165233","6527","6609","-2053","1.26","227608","102858","14","3"
9,2014,6,"Jun","train","23","165527","153213","7197","6661","12314","7.44","210598","95828","8","5"
9,2014,7,"Jul","train","27","175525","178831","6501","6623","-3306","1.88","246196","111466","9","2"
9,2014,8,"Aug","train","26","172280","169374","6626","6514","2906","1.69","234244","104504","10","3"
9,2014,9,"Sep","train","26","172952","172044","6652","6617","908","0.53","236914","107174","9","2"
9,2014,10,"Oct","train","26","175546","171754","6752","6606","3792","2.16","236624","106884","8","3"
9,2014,11,"Nov","train","24","183178","168008","7632","7000","15170","8.28","227888","108128","10","1"
9,2014,12,"Dec","train","25","204660","190652","8186","7626","14008","6.84","253027","128277","5","4"
9,2015,1,"Jan","test","26","185765","179377","7145","6899","6388","3.44","244247","114507","12","1"
9,2015,2,"Feb","test","24","174485","170785","7270","7116","3700","2.12","230665","110905","9","1"
9,2015,3,"Mar","test","26","196862","188790","7572","7261","8072","4.10","253660","123920","6","0"
9,2015,4,"Apr","test","24","185332","169835","7722","7076","15497","8.36","229715","109955","8","3"
9,2015,5,"May","test","23","179714","166957","7814","7259","12757","7.10","224342","109572","13","1"
9,2015,6,"Jun","test","25","202819","185360","8113","7414","17459","8.61","247735","122985","8","3"
9,2015,7,"Jul","test","27","194575","197936","7206","7331","-3361","1.73","265301","130571","7","3"
10,2013,1,"Jan","train","12","58659","62219","4888","5185","-3560","6.07","82259","42179","9","1"
10,2013,2,"Feb","train","24","122956","126395","5123","5266","-3439","2.80","166475","86315","12","2"
10,2013,3,"Mar","train","25","133609","132531","5344","5301","1078","0.81","174281","90781","14","0"
10,2013,4,"Apr","train","25","131040","134170","5242","5367","-3130","2.39","175920","92420","10","1"
10,2013,5,"May","train","24","130642","130556","5443","5440","86","0.07","170636","90476","16","1"
10,2013,6,"Jun","train","25","136334","136341","5453","5454","-7","0.01","178091","94591","15","0"
10,2013,7,"Jul","train","27","140742","146050","5213","5409","-5308","3.77","191140","100960","7","1"
10,2013,8,"Aug","train","27","143977","140757","5332","5213","3220","2.24","185847","95667","13","1"
10,2013,9,"Sep","train","25","127694","133087","5108","5323","-5393","4.22","174837","91337","12","1"
10,2013,10,"Oct","train","26","133045","138630","5117","5332","-5585","4.20","182050","95210","13","3"
10,2013,11,"Nov","train","26","143394","143925","5515","5536","-531","0.37","187345","100505","16","2"
10,2013,12,"Dec","train","24","153960","143295","6415","5971","10665","6.93","183375","103215","10","3"
10,2014,1,"Jan","train","26","137488","139762","5288","5375","-2274","1.65","183182","96342","13","1"
10,2014,2,"Feb","train","24","128994","131267","5375","5469","-2273","1.76","171347","91187","10","1"
10,2014,3,"Mar","train","26","140272","144165","5395","5545","-3893","2.78","187585","100745","12","2"
10,2014,4,"Apr","train","24","134317","132382","5597","5516","1935","1.44","172462","92302","9","1"
10,2014,5,"May","train","25","146065","141630","5843","5665","4435","3.04","183380","99880","12","2"
10,2014,6,"Jun","train","24","140162","136472","5840","5686","3690","2.63","176552","96392","12","0"
