"Store","Date","actual_sales","split","ts_forecast","ma_forecast","ensemble_forecast","ts_blend_weight","ma_blend_weight","ensemble_error","abs_error","ape","upper_95","lower_95"
1,"2013-03-21",5179,"train","4849","4510","4683","0.511","0.489","496","496","9.58","6456","2910"
1,"2013-03-22",5506,"train","5163","4825","4998","0.511","0.489","508","508","9.23","6771","3225"
1,"2013-03-23",5603,"train","5342","5004","5177","0.511","0.489","426","426","7.60","6950","3404"
1,"2013-03-25",6729,"train","5582","5244","5417","0.511","0.489","1312","1312","19.50","7190","3644"
1,"2013-03-26",6686,"train","5083","4744","4917","0.511","0.489","1769","1769","26.46","6690","3144"
1,"2013-03-27",6660,"train","4936","4596","4770","0.511","0.489","1890","1890","28.38","6543","2997"
1,"2013-03-28",7285,"train","4847","4510","4682","0.511","0.489","2603","2603","35.73","6455","2909"
1,"2013-03-30",7132,"train","5341","5004","5176","0.511","0.489","1956","1956","27.43","6949","3403"
1,"2013-04-02",5484,"train","4717","4744","4730","0.511","0.489","754","754","13.75","6503","2957"
1,"2013-04-03",4625,"train","4570","4596","4583","0.511","0.489","42","42","0.91","6356","2810"
1,"2013-04-04",4293,"train","4481","4510","4495","0.511","0.489","-202","202","4.71","6268","2722"
1,"2013-04-05",4390,"train","4796","4825","4810","0.511","0.489","-420","420","9.57","6583","3037"
1,"2013-04-06",5075,"train","4975","5004","4989","0.511","0.489","86","86","1.69","6762","3216"
1,"2013-04-08",6046,"train","5215","5244","5229","0.511","0.489","817","817","13.51","7002","3456"
1,"2013-04-09",5514,"train","4716","4744","4730","0.511","0.489","784","784","14.22","6503","2957"
1,"2013-04-10",4903,"train","4568","4596","4582","0.511","0.489","321","321","6.55","6355","2809"
1,"2013-04-11",4366,"train","4480","4510","4495","0.511","0.489","-129","129","2.95","6268","2722"
1,"2013-04-12",5263,"train","4795","4825","4810","0.511","0.489","453","453","8.61","6583","3037"
1,"2013-04-13",4773,"train","4974","5004","4989","0.511","0.489","-216","216","4.53","6762","3216"
1,"2013-04-15",3941,"train","5214","5244","5229","0.511","0.489","-1288","1288","32.68","7002","3456"
1,"2013-04-16",3357,"train","4714","4744","4729","0.511","0.489","-1372","1372","40.87","6502","2956"
1,"2013-04-17",3649,"train","4567","4596","4581","0.511","0.489","-932","932","25.54","6354","2808"
1,"2013-04-18",2952,"train","4479","4510","4494","0.511","0.489","-1542","1542","52.24","6267","2721"
1,"2013-04-19",4303,"train","4794","4825","4809","0.511","0.489","-506","506","11.76","6582","3036"
1,"2013-04-20",4350,"train","4972","5004","4988","0.511","0.489","-638","638","14.67","6761","3215"
1,"2013-04-22",5672,"train","5212","5244","5228","0.511","0.489","444","444","7.83","7001","3455"
1,"2013-04-23",4492,"train","4713","4744","4728","0.511","0.489","-236","236","5.25","6501","2955"
1,"2013-04-24",4309,"train","4566","4596","4581","0.511","0.489","-272","272","6.31","6354","2808"
1,"2013-04-25",3939,"train","4478","4510","4494","0.511","0.489","-555","555","14.09","6267","2721"
1,"2013-04-26",4841,"train","4792","4825","4808","0.511","0.489","33","33","0.68","6581","3035"
1,"2013-04-27",5726,"train","4971","5004","4987","0.511","0.489","739","739","12.91","6760","3214"
1,"2013-04-29",5821,"train","5211","5244","5227","0.511","0.489","594","594","10.20","7000","3454"
1,"2013-04-30",5925,"train","4712","4744","4728","0.511","0.489","1197","1197","20.20","6501","2955"
1,"2013-05-02",6486,"train","4638","4510","4575","0.511","0.489","1911","1911","29.46","6348","2802"
1,"2013-05-03",6027,"train","4952","4825","4890","0.511","0.489","1137","1137","18.87","6663","3117"
1,"2013-05-04",5912,"train","5131","5004","5069","0.511","0.489","843","843","14.26","6842","3296"
1,"2013-05-06",4568,"train","5371","5244","5309","0.511","0.489","-741","741","16.22","7082","3536"
1,"2013-05-07",4624,"train","4872","4744","4809","0.511","0.489","-185","185","4.00","6582","3036"
1,"2013-05-08",5230,"train","4724","4596","4661","0.511","0.489","569","569","10.88","6434","2888"
1,"2013-05-10",5409,"train","4951","4825","4889","0.511","0.489","520","520","9.61","6662","3116"
1,"2013-05-11",5064,"train","5130","5004","5068","0.511","0.489","-4","4","0.08","6841","3295"
1,"2013-05-13",6106,"train","5370","5244","5308","0.511","0.489","798","798","13.07","7081","3535"
1,"2013-05-14",5083,"train","4871","4744","4809","0.511","0.489","274","274","5.39","6582","3036"
1,"2013-05-15",4790,"train","4723","4596","4661","0.511","0.489","129","129","2.69","6434","2888"
1,"2013-05-16",4448,"train","4635","4510","4574","0.511","0.489","-126","126","2.83","6347","2801"
1,"2013-05-17",4856,"train","4950","4825","4889","0.511","0.489","-33","33","0.68","6662","3116"
1,"2013-05-18",4413,"train","5129","5004","5068","0.511","0.489","-655","655","14.84","6841","3295"
1,"2013-05-21",4789,"train","4870","4744","4808","0.511","0.489","-19","19","0.40","6581","3035"
1,"2013-05-22",3559,"train","4722","4596","4660","0.511","0.489","-1101","1101","30.94","6433","2887"
1,"2013-05-23",4030,"train","4634","4510","4573","0.511","0.489","-543","543","13.47","6346","2800"
1,"2013-05-24",4232,"train","4949","4825","4888","0.511","0.489","-656","656","15.50","6661","3115"
1,"2013-05-25",4408,"train","5128","5004","5067","0.511","0.489","-659","659","14.95","6840","3294"
1,"2013-05-27",5519,"train","5367","5244","5307","0.511","0.489","212","212","3.84","7080","3534"
1,"2013-05-28",4995,"train","4868","4744","4807","0.511","0.489","188","188","3.76","6580","3034"
1,"2013-05-29",5784,"train","4721","4596","4660","0.511","0.489","1124","1124","19.43","6433","2887"
1,"2013-05-31",7893,"train","4948","4825","4888","0.511","0.489","3005","3005","38.07","6661","3115"
1,"2013-06-01",5693,"train","4825","5004","4913","0.511","0.489","780","780","13.70","6686","3140"
1,"2013-06-03",5422,"train","5064","5244","5152","0.511","0.489","270","270","4.98","6925","3379"
1,"2013-06-04",5220,"train","4565","4744","4653","0.511","0.489","567","567","10.86","6426","2880"
1,"2013-06-05",5012,"train","4418","4596","4505","0.511","0.489","507","507","10.12","6278","2732"
1,"2013-06-06",4881,"train","4330","4510","4418","0.511","0.489","463","463","9.49","6191","2645"
1,"2013-06-07",4315,"train","4645","4825","4733","0.511","0.489","-418","418","9.69","6506","2960"
1,"2013-06-08",4262,"train","4823","5004","4912","0.511","0.489","-650","650","15.25","6685","3139"
1,"2013-06-10",4291,"train","5063","5244","5152","0.511","0.489","-861","861","20.07","6925","3379"
1,"2013-06-11",3784,"train","4564","4744","4652","0.511","0.489","-868","868","22.94","6425","2879"
1,"2013-06-12",3563,"train","4417","4596","4505","0.511","0.489","-942","942","26.44","6278","2732"
1,"2013-06-13",3661,"train","4328","4510","4417","0.511","0.489","-756","756","20.65","6190","2644"
1,"2013-06-14",4150,"train","4643","4825","4732","0.511","0.489","-582","582","14.02","6505","2959"
1,"2013-06-15",4766,"train","4822","5004","4911","0.511","0.489","-145","145","3.04","6684","3138"
1,"2013-06-17",5337,"train","5062","5244","5151","0.511","0.489","186","186","3.49","6924","3378"
1,"2013-06-18",4633,"train","4563","4744","4652","0.511","0.489","-19","19","0.41","6425","2879"
1,"2013-06-19",4180,"train","4415","4596","4504","0.511","0.489","-324","324","7.75","6277","2731"
1,"2013-06-20",5011,"train","4327","4510","4416","0.511","0.489","595","595","11.87","6189","2643"
1,"2013-06-21",5173,"train","4642","4825","4731","0.511","0.489","442","442","8.54","6504","2958"
1,"2013-06-22",4341,"train","4821","5004","4910","0.511","0.489","-569","569","13.11","6683","3137"
1,"2013-06-24",3549,"train","5061","5244","5150","0.511","0.489","-1601","1601","45.11","6923","3377"
1,"2013-06-25",4536,"train","4561","4744","4650","0.511","0.489","-114","114","2.51","6423","2877"
1,"2013-06-26",3827,"train","4414","4596","4503","0.511","0.489","-676","676","17.66","6276","2730"
1,"2013-06-27",3593,"train","4326","4510","4416","0.511","0.489","-823","823","22.91","6189","2643"
1,"2013-06-28",4407,"train","4641","4825","4731","0.511","0.489","-324","324","7.35","6504","2958"
1,"2013-06-29",5804,"train","4819","5004","4909","0.511","0.489","895","895","15.42","6682","3136"
1,"2013-07-01",5614,"train","5096","5244","5168","0.511","0.489","446","446","7.94","6941","3395"
1,"2013-07-02",5868,"train","4597","4744","4669","0.511","0.489","1199","1199","20.43","6442","2896"
1,"2013-07-03",5875,"train","4450","4596","4521","0.511","0.489","1354","1354","23.05","6294","2748"
1,"2013-07-04",5701,"train","4362","4510","4434","0.511","0.489","1267","1267","22.22","6207","2661"
1,"2013-07-05",4986,"train","4676","4825","4749","0.511","0.489","237","237","4.75","6522","2976"
1,"2013-07-06",4090,"train","4855","5004","4928","0.511","0.489","-838","838","20.49","6701","3155"
1,"2013-07-08",4475,"train","5095","5244","5168","0.511","0.489","-693","693","15.49","6941","3395"
1,"2013-07-09",4047,"train","4596","4744","4668","0.511","0.489","-621","621","15.34","6441","2895"
1,"2013-07-10",3963,"train","4449","4596","4521","0.511","0.489","-558","558","14.08","6294","2748"
1,"2013-07-11",4053,"train","4360","4510","4433","0.511","0.489","-380","380","9.38","6206","2660"
1,"2013-07-12",4134,"train","4675","4825","4748","0.511","0.489","-614","614","14.85","6521","2975"
1,"2013-07-13",4015,"train","4854","5004","4927","0.511","0.489","-912","912","22.71","6700","3154"
1,"2013-07-15",6377,"train","5094","5244","5167","0.511","0.489","1210","1210","18.97","6940","3394"
1,"2013-07-16",5643,"train","4594","4744","4667","0.511","0.489","976","976","17.30","6440","2894"
1,"2013-07-17",4946,"train","4447","4596","4520","0.511","0.489","426","426","8.61","6293","2747"
1,"2013-07-18",4904,"train","4359","4510","4433","0.511","0.489","471","471","9.60","6206","2660"
1,"2013-07-19",4275,"train","4674","4825","4748","0.511","0.489","-473","473","11.06","6521","2975"
1,"2013-07-20",4421,"train","4853","5004","4927","0.511","0.489","-506","506","11.45","6700","3154"
1,"2013-07-22",4149,"train","5092","5244","5166","0.511","0.489","-1017","1017","24.51","6939","3393"
1,"2013-07-23",3937,"train","4593","4744","4667","0.511","0.489","-730","730","18.54","6440","2894"
1,"2013-07-24",3849,"train","4446","4596","4519","0.511","0.489","-670","670","17.41","6292","2746"
1,"2013-07-25",3502,"train","4358","4510","4432","0.511","0.489","-930","930","26.56","6205","2659"
1,"2013-07-26",4221,"train","4673","4825","4747","0.511","0.489","-526","526","12.46","6520","2974"
1,"2013-07-27",3352,"train","4851","5004","4926","0.511","0.489","-1574","1574","46.96","6699","3153"
1,"2013-07-29",6290,"train","5091","5244","5166","0.511","0.489","1124","1124","17.87","6939","3393"
1,"2013-07-30",5773,"train","4592","4744","4666","0.511","0.489","1107","1107","19.18","6439","2893"
1,"2013-07-31",5572,"train","4445","4596","4519","0.511","0.489","1053","1053","18.90","6292","2746"
1,"2013-08-01",4994,"train","4047","4510","4273","0.511","0.489","721","721","14.44","6046","2500"
1,"2013-08-02",4494,"train","4362","4825","4588","0.511","0.489","-94","94","2.09","6361","2815"
1,"2013-08-03",4461,"train","4541","5004","4767","0.511","0.489","-306","306","6.86","6540","2994"
1,"2013-08-05",4086,"train","4781","5244","5007","0.511","0.489","-921","921","22.54","6780","3234"
1,"2013-08-06",3582,"train","4282","4744","4508","0.511","0.489","-926","926","25.85","6281","2735"
1,"2013-08-07",4143,"train","4134","4596","4360","0.511","0.489","-217","217","5.24","6133","2587"
1,"2013-08-08",3680,"train","4046","4510","4273","0.511","0.489","-593","593","16.11","6046","2500"
1,"2013-08-09",3257,"train","4361","4825","4588","0.511","0.489","-1331","1331","40.87","6361","2815"
1,"2013-08-10",3768,"train","4540","5004","4767","0.511","0.489","-999","999","26.51","6540","2994"
1,"2013-08-12",5326,"train","4780","5244","5007","0.511","0.489","319","319","5.99","6780","3234"
1,"2013-08-13",5299,"train","4280","4744","4507","0.511","0.489","792","792","14.95","6280","2734"
1,"2013-08-14",4724,"train","4133","4596","4359","0.511","0.489","365","365","7.73","6132","2586"
1,"2013-08-15",4575,"train","4045","4510","4272","0.511","0.489","303","303","6.62","6045","2499"
1,"2013-08-16",4552,"train","4360","4825","4587","0.511","0.489","-35","35","0.77","6360","2814"
1,"2013-08-17",4078,"train","4538","5004","4766","0.511","0.489","-688","688","16.87","6539","2993"
1,"2013-08-19",3954,"train","4778","5244","5006","0.511","0.489","-1052","1052","26.61","6779","3233"
1,"2013-08-20",3492,"train","4279","4744","4506","0.511","0.489","-1014","1014","29.04","6279","2733"
1,"2013-08-21",3096,"train","4132","4596","4359","0.511","0.489","-1263","1263","40.79","6132","2586"
1,"2013-08-22",3703,"train","4044","4510","4272","0.511","0.489","-569","569","15.37","6045","2499"
1,"2013-08-23",3493,"train","4358","4825","4586","0.511","0.489","-1093","1093","31.29","6359","2813"
1,"2013-08-24",4752,"train","4537","5004","4765","0.511","0.489","-13","13","0.27","6538","2992"
1,"2013-08-26",5482,"train","4777","5244","5005","0.511","0.489","477","477","8.70","6778","3232"
1,"2013-08-27",5156,"train","4278","4744","4506","0.511","0.489","650","650","12.61","6279","2733"
1,"2013-08-28",4583,"train","4131","4596","4358","0.511","0.489","225","225","4.91","6131","2585"
1,"2013-08-29",4804,"train","4042","4510","4271","0.511","0.489","533","533","11.09","6044","2498"
1,"2013-08-30",5469,"train","4357","4825","4586","0.511","0.489","883","883","16.15","6359","2813"
1,"2013-08-31",5317,"train","4536","5004","4765","0.511","0.489","552","552","10.38","6538","2992"
1,"2013-09-02",4195,"train","4677","5244","4954","0.511","0.489","-759","759","18.09","6727","3181"
1,"2013-09-03",3928,"train","4177","4744","4454","0.511","0.489","-526","526","13.39","6227","2681"
1,"2013-09-04",3343,"train","4030","4596","4307","0.511","0.489","-964","964","28.84","6080","2534"
1,"2013-09-05",3883,"train","3942","4510","4220","0.511","0.489","-337","337","8.68","5993","2447"
1,"2013-09-06",3836,"train","4257","4825","4535","0.511","0.489","-699","699","18.22","6308","2762"
1,"2013-09-07",4663,"train","4436","5004","4714","0.511","0.489","-51","51","1.09","6487","2941"
1,"2013-09-09",5893,"train","4675","5244","4953","0.511","0.489","940","940","15.95","6726","3180"
1,"2013-09-10",5403,"train","4176","4744","4454","0.511","0.489","949","949","17.56","6227","2681"
1,"2013-09-11",5103,"train","4029","4596","4306","0.511","0.489","797","797","15.62","6079","2533"
1,"2013-09-12",5079,"train","3941","4510","4219","0.511","0.489","860","860","16.93","5992","2446"
1,"2013-09-13",5187,"train","4256","4825","4534","0.511","0.489","653","653","12.59","6307","2761"
1,"2013-09-14",4663,"train","4434","5004","4713","0.511","0.489","-50","50","1.07","6486","2940"
1,"2013-09-16",4249,"train","4674","5244","4953","0.511","0.489","-704","704","16.57","6726","3180"
1,"2013-09-17",3685,"train","4175","4744","4453","0.511","0.489","-768","768","20.84","6226","2680"
1,"2013-09-18",3946,"train","4028","4596","4306","0.511","0.489","-360","360","9.12","6079","2533"
1,"2013-09-19",3717,"train","3939","4510","4218","0.511","0.489","-501","501","13.48","5991","2445"
1,"2013-09-20",3516,"train","4254","4825","4533","0.511","0.489","-1017","1017","28.92","6306","2760"
1,"2013-09-21",3909,"train","4433","5004","4712","0.511","0.489","-803","803","20.54","6485","2939"
1,"2013-09-23",4770,"train","4673","5244","4952","0.511","0.489","-182","182","3.82","6725","3179"
1,"2013-09-24",4274,"train","4174","4744","4453","0.511","0.489","-179","179","4.19","6226","2680"
1,"2013-09-25",4212,"train","4026","4596","4305","0.511","0.489","-93","93","2.21","6078","2532"
1,"2013-09-26",4481,"train","3938","4510","4218","0.511","0.489","263","263","5.87","5991","2445"
1,"2013-09-27",4669,"train","4253","4825","4533","0.511","0.489","136","136","2.91","6306","2760"
1,"2013-09-28",4175,"train","4432","5004","4712","0.511","0.489","-537","537","12.86","6485","2939"
1,"2013-09-30",4088,"train","4672","5244","4952","0.511","0.489","-864","864","21.14","6725","3179"
1,"2013-10-01",4178,"train","4370","4744","4553","0.511","0.489","-375","375","8.98","6326","2780"
1,"2013-10-02",4001,"train","4223","4596","4405","0.511","0.489","-404","404","10.10","6178","2632"
1,"2013-10-04",5447,"train","4450","4825","4633","0.511","0.489","814","814","14.94","6406","2860"
1,"2013-10-05",5352,"train","4629","5004","4812","0.511","0.489","540","540","10.09","6585","3039"
1,"2013-10-07",6004,"train","4868","5244","5052","0.511","0.489","952","952","15.86","6825","3279"
1,"2013-10-08",5452,"train","4369","4744","4552","0.511","0.489","900","900","16.51","6325","2779"
1,"2013-10-09",4957,"train","4222","4596","4405","0.511","0.489","552","552","11.14","6178","2632"
1,"2013-10-10",5286,"train","4134","4510","4318","0.511","0.489","968","968","18.31","6091","2545"
1,"2013-10-11",5896,"train","4449","4825","4633","0.511","0.489","1263","1263","21.42","6406","2860"
1,"2013-10-12",4954,"train","4627","5004","4811","0.511","0.489","143","143","2.89","6584","3038"
1,"2013-10-14",3773,"train","4867","5244","5051","0.511","0.489","-1278","1278","33.87","6824","3278"
1,"2013-10-15",3355,"train","4368","4744","4552","0.511","0.489","-1197","1197","35.68","6325","2779"
1,"2013-10-16",3383,"train","4221","4596","4404","0.511","0.489","-1021","1021","30.18","6177","2631"
1,"2013-10-17",3223,"train","4133","4510","4317","0.511","0.489","-1094","1094","33.94","6090","2544"
1,"2013-10-18",3566,"train","4447","4825","4632","0.511","0.489","-1066","1066","29.89","6405","2859"
1,"2013-10-19",3667,"train","4626","5004","4811","0.511","0.489","-1144","1144","31.20","6584","3038"
1,"2013-10-21",5055,"train","4866","5244","5051","0.511","0.489","4","4","0.08","6824","3278"
1,"2013-10-22",4068,"train","4367","4744","4551","0.511","0.489","-483","483","11.87","6324","2778"
1,"2013-10-23",4612,"train","4219","4596","4403","0.511","0.489","209","209","4.53","6176","2630"
1,"2013-10-24",4044,"train","4131","4510","4316","0.511","0.489","-272","272","6.73","6089","2543"
1,"2013-10-25",4573,"train","4446","4825","4631","0.511","0.489","-58","58","1.27","6404","2858"
1,"2013-10-26",4347,"train","4625","5004","4810","0.511","0.489","-463","463","10.65","6583","3037"
1,"2013-10-28",3557,"train","4865","5244","5050","0.511","0.489","-1493","1493","41.97","6823","3277"
1,"2013-10-29",3737,"train","4365","4744","4550","0.511","0.489","-813","813","21.76","6323","2777"
1,"2013-10-30",4119,"train","4218","4596","4403","0.511","0.489","-284","284","6.89","6176","2630"
1,"2013-10-31",4035,"train","4130","4510","4316","0.511","0.489","-281","281","6.96","6089","2543"
1,"2013-11-01",5471,"train","5103","4825","4967","0.511","0.489","504","504","9.21","6740","3194"
1,"2013-11-02",5233,"train","5282","5004","5146","0.511","0.489","87","87","1.66","6919","3373"
1,"2013-11-04",5861,"train","5521","5244","5386","0.511","0.489","475","475","8.10","7159","3613"
1,"2013-11-05",5348,"train","5022","4744","4886","0.511","0.489","462","462","8.64","6659","3113"
1,"2013-11-06",5572,"train","4875","4596","4739","0.511","0.489","833","833","14.95","6512","2966"
1,"2013-11-07",5009,"train","4787","4510","4652","0.511","0.489","357","357","7.13","6425","2879"
1,"2013-11-08",5242,"train","5101","4825","4966","0.511","0.489","276","276","5.27","6739","3193"
1,"2013-11-09",4681,"train","5280","5004","5145","0.511","0.489","-464","464","9.91","6918","3372"
1,"2013-11-11",4014,"train","5520","5244","5385","0.511","0.489","-1371","1371","34.16","7158","3612"
1,"2013-11-12",4017,"train","5021","4744","4886","0.511","0.489","-869","869","21.63","6659","3113"
1,"2013-11-13",3310,"train","4874","4596","4738","0.511","0.489","-1428","1428","43.14","6511","2965"
1,"2013-11-14",3795,"train","4785","4510","4651","0.511","0.489","-856","856","22.56","6424","2878"
1,"2013-11-15",4016,"train","5100","4825","4966","0.511","0.489","-950","950","23.66","6739","3193"
1,"2013-11-16",5071,"train","5279","5004","5145","0.511","0.489","-74","74","1.46","6918","3372"
1,"2013-11-18",5927,"train","5519","5244","5385","0.511","0.489","542","542","9.14","7158","3612"
1,"2013-11-19",5143,"train","5020","4744","4885","0.511","0.489","258","258","5.02","6658","3112"
1,"2013-11-20",4936,"train","4872","4596","4737","0.511","0.489","199","199","4.03","6510","2964"
1,"2013-11-21",4623,"train","4784","4510","4650","0.511","0.489","-27","27","0.58","6423","2877"
1,"2013-11-22",5058,"train","5099","4825","4965","0.511","0.489","93","93","1.84","6738","3192"
1,"2013-11-23",5297,"train","5278","5004","5144","0.511","0.489","153","153","2.89","6917","3371"
1,"2013-11-25",4600,"train","5517","5244","5384","0.511","0.489","-784","784","17.04","7157","3611"
1,"2013-11-26",4201,"train","5018","4744","4884","0.511","0.489","-683","683","16.26","6657","3111"
1,"2013-11-27",4561,"train","4871","4596","4737","0.511","0.489","-176","176","3.86","6510","2964"
1,"2013-11-28",4614,"train","4783","4510","4650","0.511","0.489","-36","36","0.78","6423","2877"
1,"2013-11-29",5623,"train","5098","4825","4965","0.511","0.489","658","658","11.70","6738","3192"
1,"2013-11-30",6373,"train","5276","5004","5143","0.511","0.489","1230","1230","19.30","6916","3370"
1,"2013-12-02",6943,"train","6704","5244","5990","0.511","0.489","953","953","13.73","7763","4217"
1,"2013-12-03",6293,"train","6205","4744","5491","0.511","0.489","802","802","12.74","7264","3718"
1,"2013-12-04",5688,"train","6058","4596","5343","0.511","0.489","345","345","6.07","7116","3570"
1,"2013-12-05",5691,"train","5970","4510","5256","0.511","0.489","435","435","7.64","7029","3483"
1,"2013-12-06",6112,"train","6284","4825","5571","0.511","0.489","541","541","8.85","7344","3798"
1,"2013-12-07",5799,"train","6463","5004","5750","0.511","0.489","49","49","0.84","7523","3977"
1,"2013-12-09",4462,"train","6703","5244","5990","0.511","0.489","-1528","1528","34.24","7763","4217"
1,"2013-12-10",4228,"train","6204","4744","5490","0.511","0.489","-1262","1262","29.85","7263","3717"
1,"2013-12-11",4301,"train","6056","4596","5342","0.511","0.489","-1041","1041","24.20","7115","3569"
1,"2013-12-12",4074,"train","5968","4510","5255","0.511","0.489","-1181","1181","28.99","7028","3482"
1,"2013-12-13",4703,"train","6283","4825","5570","0.511","0.489","-867","867","18.44","7343","3797"
1,"2013-12-14",6119,"train","6462","5004","5749","0.511","0.489","370","370","6.05","7522","3976"
1,"2013-12-16",8277,"train","6702","5244","5989","0.511","0.489","2288","2288","27.64","7762","4216"
1,"2013-12-17",7356,"train","6202","4744","5489","0.511","0.489","1867","1867","25.38","7262","3716"
1,"2013-12-18",7821,"train","6055","4596","5342","0.511","0.489","2479","2479","31.70","7115","3569"
1,"2013-12-19",6788,"train","5967","4510","5255","0.511","0.489","1533","1533","22.58","7028","3482"
1,"2013-12-20",8414,"train","6282","4825","5570","0.511","0.489","2844","2844","33.80","7343","3797"
